angDist,_RAJ2000,_DEJ2000,GCVS,Per,SpType,M1,e_M1,M2,e_M2,R1,e_R1,R2,e_R2,T1,e_T1,T2,e_T2,logL1,e_logL1,logL2,e_logL2,a,e_a,BibCode,Simbad,_RA,_DE,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val
0.000208,0.8259469,32.8458617,TW And,4.12276035,FV+KIV,1.685,,0.325,,2.35,,3.33,,7520,25,4658,,0.63,,1.16,,13.64,,2014AN....335.1064M,Simbad,0.82595,32.84586,0.8259468317065,32.8458616924098,0.001,0.000,90,2874199987159664384,0.82621624002,0.0309,32.84584976557,0.0173,3.8177,0.0442,52.569,0.053,-2.770,0.028,1,4.15059e+06,6.60425e+04,9.143092,2.69044e+06,8.37256e+04,9.276829,1.31329e+06,1.22961e+05,9.466019,-0.189190,,,0,7996.50,,,1.78,11.680
0.000291,356.2231122,45.6865131,WW And,23.28525,A5+F3p,3.18,0.09,0.51,0.09,3.25,,12.47,,8150,,4500,,1.62,,1.76,,53.0,0.5,2012NewA...17..691S,Simbad,356.22311,45.68651,356.2231122220105,45.6865130206679,0.006,0.005,90,1926891142676374656,356.22311206716,0.1759,45.68649066203,0.1380,2.2041,0.2320,-0.025,0.361,-5.193,0.307,1,8.97665e+05,3.02363e+03,10.805580,5.07837e+05,4.23613e+03,11.087076,5.88745e+05,6.05106e+03,10.337101,0.749975,,,0,6019.30,1.1635,0.5890,2.47,7.213
0.000485,320.0667503,-10.8022569,RY Aqr,1.9665826,A7+G8III,1.27,0.07,0.26,0.02,1.39,0.07,1.91,0.11,7650,,4520,122,0.77,0.07,0.13,0.09,7.6,,2016AJ....152...26M,Simbad,320.06675,-10.80226,320.0667503183338,-10.8022570335492,0.001,0.001,90,6892535685232812032,320.06699942071,0.0395,-10.80211366214,0.0346,6.2732,0.0450,56.831,0.075,33.299,0.067,0,5.67231e+06,7.29567e+03,8.803967,3.39144e+06,1.43219e+04,9.025427,3.21738e+06,3.29278e+04,8.493165,0.532262,,,0,6795.00,0.8973,0.4270,1.70,5.580
0.000641,305.5556567,-7.3509592,XZ Aql,2.139181,A2,2.42,0.14,0.45,0.06,2.45,0.07,2.43,0.06,8770,,4744,5,1.48,0.08,0.4,0.08,9.94,0.21,2016AJ....152...33Z,Simbad,305.55566,-7.35096,305.5556566126772,-7.3509590445558,0.001,0.001,90,4216146640300354048,305.55561770133,0.0417,-7.35099708154,0.0350,1.9659,0.0531,-8.963,0.091,-8.834,0.063,0,1.75842e+06,6.02664e+03,10.075562,1.16308e+06,8.41688e+03,10.187361,9.01415e+05,1.03649e+04,9.874608,0.312753,,,0,8118.75,0.6573,0.3360,,
0.000383,281.7947561,10.76368,KO Aql,2.864055,AV+[G8IV],2.53,0.05,0.55,0.01,1.74,0.07,3.34,0.07,9900,,4426,,1.41,0.06,0.56,0.06,12.05,0.05,2007MNRAS.379.1533S,Simbad,281.79476,10.76368,281.7947561866108,10.7636800640346,0.002,0.001,0,4503821320738678016,281.79477912453,0.0387,10.76362831028,0.0459,4.0035,0.0510,5.234,0.091,-12.020,0.101,1,8.99097e+06,1.05234e+04,8.303849,5.97483e+06,1.26767e+04,8.410575,4.47521e+06,1.95457e+04,8.134886,0.275689,,,0,8132.67,0.5883,0.3113,,
0.069653,295.2730347,13.8156806,QS Aql,2.513294,B5V+[A8IV],4.07,0.09,1.49,0.05,4.08,0.15,1.65,0.2,14500,,7910,78,2.8,0.07,0.96,0.06,13.78,0.11,2017AJ....153...36Z,Simbad,295.27303,13.81568,295.2730205257824,13.8156941975451,0.027,0.024,90,4317157059905694592,295.27304018823,0.8380,13.81563315785,0.7381,1.4730,0.9233,4.435,1.738,-14.177,1.565,0,7.77922e+07,6.04408e+04,5.961025,5.83861e+07,1.61776e+05,5.935615,3.09968e+07,9.96071e+04,6.033629,-0.098014,,,0,8562.50,0.2800,0.1430,,
0.000148,286.0424739,-2.0297397,V337 Aql,2.7338794,B0V+B3V,17.44,0.31,7.83,0.18,9.86,0.06,7.48,0.04,28000,500,23640,500,4.73,0.04,4.2,0.04,24.12,0.11,2014NewA...28...44T,Simbad,286.04247,-2.02974,286.0424739408348,-2.0297396948613,0.001,0.001,90,4261802284445511808,286.04247192796,0.0462,-2.02975490560,0.0432,0.4891,0.0524,-0.467,0.094,-3.533,0.083,0,7.53770e+06,4.85296e+04,8.495268,4.32136e+06,3.06748e+04,8.762337,4.81560e+06,8.17651e+04,8.055294,0.707043,,,0,6253.75,1.5232,0.7645,29.78,1222.205
0.000199,77.4261986,39.5863158,TT Aur,1.332735,B2V+B4,8.1,,5.4,,3.9,,4.2,,24850,,18170,,3.72,,3.24,,12.14,,2004yCat.5115....0S,Simbad,77.4262,39.58632,77.4261985478040,39.5863157619271,0.001,0.001,90,188555356425677184,77.42620038695,0.0409,39.58630351379,0.0290,0.8503,0.0472,0.329,0.076,-2.845,0.051,1,7.13788e+06,6.26306e+04,8.554443,5.19805e+06,1.21917e+05,8.561787,3.37026e+06,8.31346e+04,8.442763,0.119023,,,0,9603.00,,,,
0.000431,78.8739306,46.4059597,IM Aur,1.24728912,B7V+A5V,2.38,,0.77,,2.6,,2.0,,12930,,8150,,2.23,,1.2,,7.14,,2004yCat.5115....0S,Simbad,78.87393,46.40596,78.8739304263728,46.4059596997761,0.001,0.001,90,211807141136171136,78.87390646083,0.0513,46.40593484577,0.0461,1.9706,0.0596,-3.838,0.094,-5.773,0.081,1,1.20544e+07,3.11136e+04,7.985506,8.78664e+06,6.60819e+04,7.991831,4.81026e+06,1.08014e+05,8.056499,-0.064668,,,0,8977.50,0.3125,0.1660,,
0.000369,81.9683558,34.7828733,IU Aur,1.8114743,O9.5V+B0.5IV-V,11.99,0.08,6.07,0.04,6.3,0.2,5.2,0.2,33331,130,28823,194,4.64,0.03,4.22,0.04,16.83,0.08,2009ASPC..404..178S,Simbad,81.96836,34.78287,81.9683557724487,34.7828732001088,0.012,0.010,90,182856896896621952,81.96833228990,0.4231,34.78283423707,0.4036,0.4786,0.5765,-4.479,0.801,-9.049,0.629,0,8.86566e+06,7.35599e+04,8.319088,5.85267e+06,1.62726e+05,8.433004,4.67592e+06,1.20353e+05,8.087253,0.345752,,,0,8353.00,,,,
