angDist,_RAJ2000,_DEJ2000,GCVS,Class1,u_Class1,LCType,u_LCType,magMax,A1,A2,Fltr,Per,f_Per,SpType,Simbad,_RA,_DE,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val
0.035714,347.7920833,53.0258333,RT    And,CB,,EA,,8.55,0.92,0.33,V,0.6289,d,F8V,Simbad,347.79208,53.02583,347.7920756115314,53.0258420769484,0.001,0.001,90,1995525922664199296,347.79202229820,0.0287,53.02574831822,0.0282,10.1267,0.0424,-7.447,0.064,-21.776,0.062,0,5.47769e+06,1.97193e+04,8.841871,2.98721e+06,2.51495e+04,9.163224,3.63042e+06,2.15080e+04,8.362027,0.801197,,,0,5833.50,0.5040,0.2387,1.42,2.103
0.507391,3.3183333,43.7113889,SY    And,,,EA,,10.7,1.5,,V,34.9085,,A0+K1,Simbad,3.31833,43.71139,3.3182363972276,43.7115112048090,0.001,0.001,90,385452806349442816,3.31821699287,0.0342,43.71149275596,0.0252,0.7383,0.0536,-3.258,0.054,-4.285,0.036,0,1.14286e+06,7.93772e+02,10.543386,7.35602e+05,1.37739e+03,10.684781,6.19095e+05,1.78274e+03,10.282526,0.402255,,,0,7981.25,1.0712,0.5167,4.85,85.849
0.358264,0.8258333,32.8458333,TW    And,S,,EA,,8.8,2.06,0.14,V,4.1228,i,F0V+K0,Simbad,0.82583,32.84583,0.8259468317065,32.8458616924098,0.001,0.000,90,2874199987159664384,0.82621624002,0.0309,32.84584976557,0.0173,3.8177,0.0442,52.569,0.053,-2.770,0.028,1,4.15059e+06,6.60425e+04,9.143092,2.69044e+06,8.37256e+04,9.276829,1.31329e+06,1.22961e+05,9.466019,-0.189190,,,0,7996.50,,,1.78,11.680
0.420098,10.9379167,30.9388889,UU    And,S,,EA,,11.2,3.0,,V,1.4863,v,F5,Simbad,10.93792,30.93889,10.9378347928668,30.9387957228684,0.001,0.001,90,360391981413604992,10.93778318555,0.0416,30.93874455322,0.0283,1.0593,0.0548,-10.281,0.072,-11.885,0.066,0,2.99897e+05,1.03775e+03,11.995935,1.78150e+05,1.65600e+03,12.224426,1.81500e+05,2.04978e+03,11.614729,0.609697,,,0,6872.00,1.0875,0.5150,2.27,10.354
0.664416,356.2229167,45.6863889,WW    And,S,,EA,,10.3,1.1,,V,23.2853,,A5+F3p,Simbad,356.22292,45.68639,356.2231122220105,45.6865130206679,0.006,0.005,90,1926891142676374656,356.22311206716,0.1759,45.68649066203,0.1380,2.2041,0.2320,-0.025,0.361,-5.193,0.307,1,8.97665e+05,3.02363e+03,10.805580,5.07837e+05,4.23613e+03,11.087076,5.88745e+05,6.05106e+03,10.337101,0.749975,,,0,6019.30,1.1635,0.5890,2.47,7.213
0.325322,29.2145833,42.1005556,XZ    And,S,,EA,,10.15,2.97,0.01,B,1.3573,i,A4IV-V,Simbad,29.21458,42.10056,29.2146844662393,42.1006059178051,0.002,0.002,0,346092282940909568,29.21470968115,0.0716,42.10055505054,0.0485,1.8406,0.0778,4.345,0.110,-11.814,0.116,0,1.91040e+06,2.31016e+04,9.985553,1.14754e+06,5.34422e+04,10.201970,9.22904e+05,4.12546e+04,9.849029,0.352942,,,0,7169.00,,,3.04,21.974
0.532965,346.345,47.6763889,AA    And,CB,,EA,,10.3,0.6,0.2,b,0.9351,,B8V,Simbad,346.345,47.67639,346.3451866427099,47.6763106397857,0.001,0.001,90,1936512041221649536,346.34516862417,0.0255,47.67629250484,0.0244,0.9297,0.0360,-2.818,0.059,-4.212,0.054,1,8.62762e+05,5.91459e+03,10.848639,5.67097e+05,1.20202e+04,10.967244,4.23313e+05,1.05955e+04,10.695267,0.271977,,,0,7847.33,0.8320,0.4060,3.44,40.334
0.198269,347.88375,36.8930556,AB    And,CWW,,EW,,9.5,0.82,0.7,V,0.3319,u,G5+G5V,Simbad,347.88375,36.89306,347.8836920351561,36.8930853350428,0.001,0.001,90,1916588203329221632,347.88427304583,0.0278,36.89285560655,0.0211,11.7027,0.0367,107.923,0.046,-53.357,0.036,0,2.49597e+06,3.20433e+04,9.695267,1.17506e+06,4.94582e+04,10.176242,1.85229e+06,7.21843e+04,9.092649,1.083592,,,0,5029.50,0.6352,0.2920,1.17,0.790
0.431616,354.1875,48.6711111,AD    And,,,EB,,10.9,0.7,0.7,b,0.9862,i,A0V,Simbad,354.1875,48.67111,354.1875273651534,48.6709925765364,0.001,0.001,90,1943332002611320192,354.18749733301,0.0260,48.67097659531,0.0240,0.9179,0.0365,-4.606,0.058,-3.712,0.054,0,7.29753e+05,4.30026e+03,11.030426,4.68614e+05,9.60964e+03,11.174351,3.77514e+05,6.43858e+03,10.819586,0.354765,,,0,7555.75,,,3.42,34.281
0.319381,349.5970833,41.7736111,AN    And,DM,,EB,,6.0,0.16,0.09,b,3.2196,,A7Vm,Simbad,349.59708,41.77361,349.5971750922901,41.7736675297901,0.001,0.001,0,1924499223851942272,349.59711582508,0.0391,41.77362537247,0.0345,7.0976,0.0544,-10.266,0.078,-9.791,0.080,0,7.97524e+07,1.20830e+05,5.934006,5.17369e+07,2.91343e+05,6.066887,3.93611e+07,2.49873e+05,5.774252,0.292635,,,0,7766.00,,,4.40,63.539
0.287798,357.3779167,45.7891667,AP    And,DM,,EA,,11.3,0.6,0.6,b,1.5873,,F5,Simbad,357.37792,45.78917,357.3779557973456,45.7892418516405,0.001,0.001,90,1927062769572959744,357.37799318956,0.0350,45.78921703786,0.0201,2.8663,0.0415,6.056,0.064,-5.763,0.042,0,8.22393e+05,9.26952e+02,10.900666,4.51407e+05,6.45255e+02,11.214968,5.22156e+05,5.01845e+02,10.467420,0.747548,,,0,6011.25,,,1.82,3.909
0.210424,346.7716667,50.9586111,BD    And,CW,:,EB,,11.3,0.4,0.1,b,0.4629,,F8,Simbad,346.77167,50.95861,346.7715825261585,50.9586357063512,0.015,0.015,90,1992026074073047296,346.77176657247,0.4943,50.95862347081,0.5117,0.1319,0.6265,26.925,0.991,-2.842,0.979,1,1.14416e+06,2.01302e+03,10.542150,5.84656e+05,3.47450e+03,10.934137,7.96549e+05,4.10155e+03,10.008889,0.925248,,,0,5633.92,,,,
0.538198,347.85125,51.8752778,BL    And,CBV,,EB,,11.0,0.74,0.24,b,0.7224,d,A0,Simbad,347.85125,51.87528,347.8510756852752,51.8753815715040,0.001,0.001,90,1992215671110689152,347.85103023129,0.0251,51.87534034818,0.0216,1.2721,0.0320,-6.518,0.048,-9.574,0.044,0,5.62045e+05,6.90869e+03,11.313939,3.72136e+05,1.34685e+04,11.424635,3.18932e+05,1.10290e+04,11.002673,0.421962,,,0,7568.67,,,2.16,13.755
0.434356,348.1958333,51.8738889,BS    And,,,EA,,15.0,2.0,,b,,,,Simbad,348.19583,51.87389,348.1957206899893,51.8737902907826,0.002,0.002,90,1992218454249600896,348.19569339579,0.0525,51.87377872677,0.0529,-0.3501,0.0738,-3.914,0.107,-2.686,0.106,0,2.14036e+04,3.03463e+01,14.862147,1.28925e+04,5.96956e+01,15.075543,1.31427e+04,8.71143e+01,14.465212,0.610332,,,0,6824.50,,,,
0.292481,32.2641667,40.7941667,BX    And,CB,,EW,,8.9,0.67,0.25,b,0.6101,,F2V,Simbad,32.26417,40.79417,32.2642552406109,40.7942126085543,0.001,0.001,90,345119558747024512,32.26431131746,0.0545,40.79417684338,0.0343,5.4529,0.0558,9.860,0.080,-8.307,0.078,0,5.23852e+06,6.13936e+04,8.890344,3.06169e+06,1.02072e+05,9.136486,3.12418e+06,1.01778e+05,8.525080,0.611406,,,0,6498.57,0.9305,0.4735,2.06,6.815
0.436171,21.6183333,44.3569444,CD    And,,,EA,,9.8,0.5,,b,34.4416,,F8,Simbad,21.61833,44.35694,21.6181653277752,44.3569603825111,0.010,0.009,0,396805195187262080,21.61826777558,0.2759,44.35692519422,0.2950,2.7147,0.2979,17.013,0.589,-8.173,0.627,0,6.97145e+06,7.12490e+03,8.580058,3.58785e+06,9.37898e+03,8.964302,4.77645e+06,1.18718e+04,8.064158,0.900144,27.20,11.91,9,5409.67,,,7.07,38.579
0.520616,5.1270833,40.2261111,CN    And,CB,,EW,,9.7,0.55,0.26,V,0.4628,,F8,Simbad,5.12708,40.22611,5.1272586955229,40.2260565062883,0.001,0.000,90,380329082164174848,5.12721048652,0.0348,40.22590456061,0.0169,4.9670,0.0425,-8.549,0.054,-35.291,0.024,0,2.56960e+06,1.48289e+04,9.663703,1.46115e+06,2.62948e+04,9.939652,1.56681e+06,2.71278e+04,9.274381,0.665272,,,0,6182.90,1.0450,0.5230,1.75,4.046
0.682987,17.8533333,46.9636111,CO    And,,,EA,,11.1,1.0,,b,1.8277,,F8,Simbad,17.85333,46.96361,17.8535408752945,46.9637372942632,0.001,0.001,90,401078859445256192,17.85353781988,0.0488,46.96365755895,0.0338,2.5437,0.0624,-0.484,0.076,-18.519,0.070,0,1.18041e+06,4.03211e+02,10.508286,6.41127e+05,4.53629e+02,10.834027,7.71580e+05,8.08767e+02,10.043468,0.790560,,,0,5808.33,,,2.65,7.191
0.689311,33.2133333,45.6311111,CP    And,,,EA,,11.4,1.5,0.05,b,3.6089,,A5,Simbad,33.21333,45.63111,33.2135302781369,45.6309780964838,0.001,0.001,90,353011505316763392,33.21356749313,0.0529,45.63096426221,0.0344,1.0221,0.0578,6.044,0.085,-3.213,0.078,0,3.79688e+05,4.10748e+02,11.739800,2.46402e+05,7.21367e+02,11.872276,2.02655e+05,1.04137e+03,11.495025,0.377252,,,0,8029.00,0.8747,0.4270,,
0.319715,345.2566667,49.9736111,CU    And,,,EA,,12.5,3.5,,b,1.716,,,Simbad,345.25667,49.97361,345.2566532689521,49.9736994885770,0.001,0.001,90,1985953883670270464,345.25660132062,0.0206,49.97371145522,0.0190,0.9193,0.0290,-7.760,0.043,2.779,0.040,0,1.46465e+05,1.74625e+02,12.774031,8.51347e+04,2.54956e+02,13.026121,9.03218e+04,2.96568e+02,12.372438,0.653683,,,0,6443.00,,,2.08,6.706
0.549776,347.25375,49.6141667,CZ    And,,,EA,,12.4,0.6,,b,2.7172,,A6,Simbad,347.25375,49.61417,347.2536133461813,49.6142911279722,0.001,0.001,90,1990952602827355520,347.25359840342,0.0181,49.61428020578,0.0173,0.5221,0.0241,-2.249,0.036,-2.537,0.034,0,2.25106e+05,3.93768e+02,12.307399,1.29940e+05,1.16325e+03,12.567029,1.38481e+05,1.57368e+03,11.908441,0.658588,,,0,6361.00,1.6173,0.7950,4.66,31.980
0.674263,29.4420833,38.0744444,DS    And,CB,,EB,,10.4,0.5,0.3,V,1.0105,,F2III,Simbad,29.44208,38.07444,29.4419004119761,38.0745641992197,0.001,0.001,90,342946885113758720,29.44195604416,0.0404,38.07451348070,0.0350,2.1968,0.0404,10.172,0.082,-11.780,0.080,0,1.23917e+06,1.00601e+04,10.455539,7.06570e+05,2.57660e+04,10.728500,7.22982e+05,1.89922e+04,10.114101,0.614399,,,0,6370.78,,,2.59,9.944
